001	001	Bulbasaur	45	49	49	65	65	45	318	53	45
002	002	Ivysaur	60	62	63	80	80	60	405	67.5	45
003	003	Venusaur	80	82	83	100	100	80	525	87.5	45
004	004	Charmander	39	52	43	60	50	65	309	51.5	45
005	005	Charmeleon	58	64	58	80	65	80	405	67.5	45
006	006	Charizard	78	84	78	109	85	100	534	89	45
007	007	Squirtle	44	48	65	50	64	43	314	52.33	45
008	008	Wartortle	59	63	80	65	80	58	405	67.5	45
009	009	Blastoise	79	83	100	85	105	78	530	88.33	45
010	010	Caterpie	45	30	35	20	20	45	195	32.5	255
011	011	Metapod	50	20	55	25	25	30	205	34.17	120
